2012-05-07 15:11:39.2067|INFO|FinalVersion.SurfaceWindow1|; 1336403483307 ; kostas pantazos ; D ; 0 ; 3 ; 1 ; 41 ; 1336403499203
2012-05-07 15:26:23.4903|INFO|FinalVersion.SurfaceWindow1|; 1336404381543 ; kostas pantazos ; D ; 1 ; 0 ; 1 ; 1 ; 1336404383490
2012-05-07 15:26:29.5396|INFO|FinalVersion.SurfaceWindow1|; 1336404386706 ; kostas pantazos ; D ; 1 ; 0 ; 2 ; 1 ; 1336404389539
2012-05-07 15:26:34.0799|INFO|FinalVersion.SurfaceWindow1|; 1336404392310 ; kostas pantazos ; D ; 1 ; 0 ; 0 ; 1 ; 1336404394079
2012-05-07 15:26:38.7651|INFO|FinalVersion.SurfaceWindow1|; 1336404396208 ; kostas pantazos ; D ; 1 ; 0 ; 1 ; 1 ; 1336404398765
2012-05-07 15:26:42.4903|INFO|FinalVersion.SurfaceWindow1|; 1336404400718 ; kostas pantazos ; D ; 1 ; 0 ; 2 ; 1 ; 1336404402490
2012-05-07 15:28:59.3282|INFO|FinalVersion.SurfaceWindow1|; 1336404518172 ; kostas pantazos ; D ; 2 ; 0 ; 0 ; 0 ; 1336404539328
2012-05-07 15:30:23.6330|INFO|FinalVersion.SurfaceWindow1|; 1336404546891 ; kostas pantazos ; D ; 2 ; 0 ; 1 ; 0 ; 1336404623633
2012-05-07 15:31:04.2663|INFO|FinalVersion.SurfaceWindow1|; 1336404631221 ; kostas pantazos ; D ; 2 ; 0 ; 2 ; 0 ; 1336404664266
2012-05-07 15:32:14.5103|INFO|FinalVersion.SurfaceWindow1|; 1336404731827 ; kostas pantazos ; D ; 0 ; 2 ; 1 ; 1 ; 1336404734510
2012-05-07 15:32:19.4596|INFO|FinalVersion.SurfaceWindow1|; 1336404737308 ; kostas pantazos ; D ; 0 ; 2 ; 0 ; 0 ; 1336404739459
2012-05-07 15:33:09.5205|INFO|FinalVersion.SurfaceWindow1|; 1336404742119 ; kostas pantazos ; D ; 0 ; 2 ; 2 ; 4 ; 1336404789520
2012-05-07 15:33:25.8184|INFO|FinalVersion.SurfaceWindow1|; 1336404801980 ; kostas pantazos ; D ; 0 ; 2 ; 0 ; 0 ; 1336404805818
2012-05-07 15:33:33.8639|INFO|FinalVersion.SurfaceWindow1|; 1336404809796 ; kostas pantazos ; D ; 0 ; 2 ; 1 ; 0 ; 1336404813863
2012-05-07 15:34:13.6962|INFO|FinalVersion.SurfaceWindow1|; 1336404818321 ; kostas pantazos ; D ; 0 ; 2 ; 2 ; 3 ; 1336404853696
2012-05-07 15:34:37.3485|INFO|FinalVersion.SurfaceWindow1|; 1336404858607 ; kostas pantazos ; D ; 0 ; 2 ; 1 ; 3 ; 1336404877348
2012-05-07 15:34:46.3150|INFO|FinalVersion.SurfaceWindow1|; 1336404882133 ; kostas pantazos ; D ; 0 ; 2 ; 0 ; 0 ; 1336404886315
2012-05-07 15:35:04.9981|INFO|FinalVersion.SurfaceWindow1|; 1336404890652 ; kostas pantazos ; D ; 0 ; 2 ; 2 ; 1 ; 1336404904998
2012-05-07 15:35:41.3942|INFO|FinalVersion.SurfaceWindow1|; 1336404938595 ; kostas pantazos ; D ; 1 ; 2 ; 1 ; 2 ; 1336404941394
2012-05-07 15:35:46.1344|INFO|FinalVersion.SurfaceWindow1|; 1336404944167 ; kostas pantazos ; D ; 1 ; 2 ; 0 ; 1 ; 1336404946134
2012-05-07 15:35:51.7358|INFO|FinalVersion.SurfaceWindow1|; 1336404948770 ; kostas pantazos ; D ; 1 ; 2 ; 2 ; 1 ; 1336404951735
2012-05-07 15:35:56.3730|INFO|FinalVersion.SurfaceWindow1|; 1336404954441 ; kostas pantazos ; D ; 1 ; 2 ; 0 ; 1 ; 1336404956373
2012-05-07 15:36:01.5403|INFO|FinalVersion.SurfaceWindow1|; 1336404959181 ; kostas pantazos ; D ; 1 ; 2 ; 1 ; 1 ; 1336404961539
2012-05-07 15:36:07.3977|INFO|FinalVersion.SurfaceWindow1|; 1336404964152 ; kostas pantazos ; D ; 1 ; 2 ; 2 ; 1 ; 1336404967397
2012-05-07 15:36:12.7320|INFO|FinalVersion.SurfaceWindow1|; 1336404970272 ; kostas pantazos ; D ; 1 ; 2 ; 1 ; 1 ; 1336404972732
2012-05-07 15:36:17.6642|INFO|FinalVersion.SurfaceWindow1|; 1336404975479 ; kostas pantazos ; D ; 1 ; 2 ; 0 ; 1 ; 1336404977664
2012-05-07 15:36:22.5125|INFO|FinalVersion.SurfaceWindow1|; 1336404980382 ; kostas pantazos ; D ; 1 ; 2 ; 2 ; 1 ; 1336404982512
2012-05-07 15:38:08.1286|INFO|FinalVersion.SurfaceWindow1|; 1336405043322 ; kostas pantazos ; D ; 2 ; 2 ; 1 ; 0 ; 1336405088128
2012-05-07 15:38:32.1009|INFO|FinalVersion.SurfaceWindow1|; 1336405092916 ; kostas pantazos ; D ; 2 ; 2 ; 0 ; 0 ; 1336405112100
2012-05-07 15:39:15.6864|INFO|FinalVersion.SurfaceWindow1|; 1336405116636 ; kostas pantazos ; D ; 2 ; 2 ; 2 ; 0 ; 1336405155686
2012-05-07 15:40:04.4382|INFO|FinalVersion.SurfaceWindow1|; 1336405199796 ; kostas pantazos ; D ; 0 ; 1 ; 1 ; 0 ; 1336405204438
2012-05-07 15:40:11.8116|INFO|FinalVersion.SurfaceWindow1|; 1336405208718 ; kostas pantazos ; D ; 0 ; 1 ; 0 ; 0 ; 1336405211811
2012-05-07 15:40:19.7521|INFO|FinalVersion.SurfaceWindow1|; 1336405215974 ; kostas pantazos ; D ; 0 ; 1 ; 2 ; 0 ; 1336405219752
2012-05-07 15:40:27.0925|INFO|FinalVersion.SurfaceWindow1|; 1336405224035 ; kostas pantazos ; D ; 0 ; 1 ; 1 ; 0 ; 1336405227092
2012-05-07 15:40:33.5139|INFO|FinalVersion.SurfaceWindow1|; 1336405230705 ; kostas pantazos ; D ; 0 ; 1 ; 0 ; 0 ; 1336405233513
2012-05-07 15:41:05.5797|INFO|FinalVersion.SurfaceWindow1|; 1336405237326 ; kostas pantazos ; D ; 0 ; 1 ; 2 ; 3 ; 1336405265579
2012-05-07 15:41:19.4975|INFO|FinalVersion.SurfaceWindow1|; 1336405276479 ; kostas pantazos ; D ; 0 ; 1 ; 0 ; 0 ; 1336405279497
2012-05-07 15:41:30.7912|INFO|FinalVersion.SurfaceWindow1|; 1336405283652 ; kostas pantazos ; D ; 0 ; 1 ; 1 ; 0 ; 1336405290791
2012-05-07 15:41:42.7438|INFO|FinalVersion.SurfaceWindow1|; 1336405296952 ; kostas pantazos ; D ; 0 ; 1 ; 2 ; 0 ; 1336405302743
2012-05-07 15:42:17.0868|INFO|FinalVersion.SurfaceWindow1|; 1336405334263 ; kostas pantazos ; D ; 1 ; 1 ; 1 ; 1 ; 1336405337086
2012-05-07 15:42:24.7012|INFO|FinalVersion.SurfaceWindow1|; 1336405342098 ; kostas pantazos ; D ; 1 ; 1 ; 0 ; 1 ; 1336405344701
2012-05-07 15:42:43.8163|INFO|FinalVersion.SurfaceWindow1|; 1336405347977 ; kostas pantazos ; D ; 1 ; 1 ; 2 ; 3 ; 1336405363816
2012-05-07 15:42:53.3769|INFO|FinalVersion.SurfaceWindow1|; 1336405370604 ; kostas pantazos ; D ; 1 ; 1 ; 0 ; 1 ; 1336405373376
2012-05-07 15:43:03.7185|INFO|FinalVersion.SurfaceWindow1|; 1336405379821 ; kostas pantazos ; D ; 1 ; 1 ; 1 ; 1 ; 1336405383718
2012-05-07 15:43:09.9538|INFO|FinalVersion.SurfaceWindow1|; 1336405387662 ; kostas pantazos ; D ; 1 ; 1 ; 2 ; 1 ; 1336405389953
2012-05-07 15:43:15.7902|INFO|FinalVersion.SurfaceWindow1|; 1336405392999 ; kostas pantazos ; D ; 1 ; 1 ; 1 ; 1 ; 1336405395790
2012-05-07 15:43:21.6105|INFO|FinalVersion.SurfaceWindow1|; 1336405398904 ; kostas pantazos ; D ; 1 ; 1 ; 0 ; 1 ; 1336405401610
2012-05-07 15:43:28.3949|INFO|FinalVersion.SurfaceWindow1|; 1336405403908 ; kostas pantazos ; D ; 1 ; 1 ; 2 ; 2 ; 1336405408394
2012-05-07 15:47:38.0692|INFO|FinalVersion.SurfaceWindow1|; 1336405627075 ; kostas Pantazos ; D ; 2 ; 1 ; 0 ; 0 ; 1336405658066
2012-05-07 15:48:43.3629|INFO|FinalVersion.SurfaceWindow1|; 1336405663339 ; kostas Pantazos ; D ; 2 ; 1 ; 1 ; 0 ; 1336405723362
2012-05-07 15:50:09.5538|INFO|FinalVersion.SurfaceWindow1|; 1336405730448 ; kostas Pantazos ; D ; 2 ; 1 ; 2 ; 0 ; 1336405809553
